iter	Passed	Remaining
0	2	246
1	4	242
2	7	242
3	8	213
4	10	203
5	12	195
6	14	192
7	16	189
8	18	188
9	21	196
10	24	196
11	26	193
12	28	191
13	30	188
14	33	187
15	36	190
16	38	189
17	41	188
18	43	183
19	44	179
20	47	177
21	49	176
22	52	175
23	55	174
24	57	171
25	59	170
26	62	168
27	64	164
28	67	165
29	70	165
30	72	161
31	74	158
32	76	156
33	78	153
34	82	153
35	85	151
36	87	148
37	89	146
38	91	143
39	94	141
40	99	142
41	100	138
42	102	136
43	105	134
44	108	132
45	112	131
46	114	129
47	116	126
48	118	123
49	121	121
50	123	118
51	128	118
52	131	116
53	133	113
54	134	110
55	136	107
56	139	104
57	142	103
58	145	100
59	147	98
60	149	95
61	152	93
62	154	90
63	157	88
64	159	86
65	162	83
66	164	81
67	167	78
68	169	76
69	173	74
70	175	71
71	177	69
72	179	66
73	181	63
74	183	61
75	186	59
76	189	56
77	191	54
78	194	51
79	196	49
80	197	46
81	200	44
82	204	41
83	206	39
84	209	36
85	211	34
86	213	31
87	217	29
88	220	27
89	223	24
90	225	22
91	227	19
92	230	17
93	233	14
94	236	12
95	239	9
96	241	7
97	245	5
98	250	2
99	253	0
