iter	Passed	Remaining
0	156	156287
1	158	79100
2	160	53310
3	162	40422
4	164	32670
5	166	27512
6	168	23855
7	170	21183
8	172	19037
9	174	17291
10	176	15875
11	178	14693
12	180	13688
13	182	12830
14	184	12123
15	186	11468
16	188	10881
17	189	10360
18	191	9907
19	193	9494
20	195	9121
21	197	8785
22	199	8482
23	201	8211
24	204	7956
25	205	7714
26	207	7485
27	209	7272
28	211	7078
29	214	6922
30	216	6760
31	218	6601
32	220	6450
33	222	6307
34	224	6180
35	226	6073
36	229	5965
37	231	5863
38	233	5757
39	235	5661
40	237	5564
41	239	5474
42	242	5386
43	244	5301
44	245	5217
45	247	5137
46	249	5058
47	251	4984
48	253	4916
49	255	4849
50	257	4795
51	259	4735
52	261	4670
53	263	4612
54	264	4552
55	266	4498
56	268	4446
57	270	4400
58	272	4353
59	274	4308
60	276	4263
61	279	4231
62	281	4190
63	283	4147
64	285	4113
65	288	4077
66	290	4040
67	292	4009
68	294	3975
69	296	3938
70	298	3904
71	300	3872
72	302	3844
73	304	3811
74	306	3779
75	308	3745
76	309	3714
77	311	3683
78	313	3653
79	315	3633
80	318	3610
81	320	3585
82	321	3548
83	322	3521
84	325	3502
85	327	3478
86	328	3452
87	331	3433
88	333	3410
89	334	3387
90	336	3365
91	338	3342
92	340	3322
93	342	3301
94	344	3280
95	346	3266
96	349	3249
97	350	3229
98	352	3210
99	354	3193
100	356	3174
101	358	3156
102	360	3141
103	363	3128
104	365	3114
105	367	3096
106	369	3080
107	370	3063
108	373	3050
109	375	3041
110	378	3029
111	380	3017
112	382	3004
113	384	2992
114	387	2979
115	390	2975
116	392	2961
117	394	2948
118	396	2934
119	398	2920
120	400	2906
121	401	2888
122	403	2875
123	405	2865
124	407	2853
125	409	2840
126	411	2827
127	413	2815
128	415	2802
129	416	2790
130	418	2777
131	420	2766
132	423	2758
133	425	2747
134	427	2736
135	429	2726
136	431	2719
137	433	2707
138	435	2699
139	437	2690
140	439	2680
141	441	2665
142	443	2655
143	445	2645
144	446	2634
145	448	2623
146	450	2614
147	452	2604
148	454	2595
149	456	2586
150	458	2575
151	459	2564
152	461	2555
153	463	2545
154	465	2537
155	467	2529
156	469	2519
157	471	2510
158	472	2501
159	474	2491
160	475	2479
161	477	2470
162	479	2461
163	481	2455
164	483	2447
165	485	2439
166	487	2431
167	489	2421
168	490	2412
169	492	2404
170	494	2396
171	496	2392
172	499	2386
173	501	2379
174	504	2377
175	506	2370
176	508	2365
177	511	2360
178	513	2356
179	515	2349
180	518	2344
181	519	2336
182	521	2329
183	523	2321
184	526	2318
185	528	2312
186	530	2305
187	532	2298
188	534	2292
189	536	2287
190	538	2281
191	541	2279
192	545	2282
193	547	2276
194	549	2269
195	551	2263
196	554	2260
197	557	2256
198	559	2251
199	561	2244
200	563	2239
201	565	2234
202	567	2229
203	570	2225
204	572	2220
205	574	2214
206	576	2209
207	578	2203
208	580	2197
209	582	2191
210	584	2185
211	586	2180
212	588	2174
213	590	2168
214	592	2162
215	594	2157
216	596	2151
217	598	2145
218	600	2141
219	603	2138
220	605	2132
221	607	2128
222	609	2125
223	611	2120
224	613	2114
225	616	2112
226	618	2107
227	620	2101
228	622	2095
229	624	2090
230	626	2084
231	628	2079
232	630	2076
233	632	2071
234	634	2065
235	636	2061
236	638	2055
237	640	2049
238	641	2044
239	644	2039
240	646	2035
241	648	2031
242	650	2025
243	652	2020
244	654	2015
245	656	2011
246	658	2007
247	660	2004
248	663	2000
249	665	1995
250	667	1990
251	669	1986
252	671	1981
253	673	1978
